DisplayId,FileDataId
224,133345
242,132535
245,132535
249,132535
257,132535
261,132535
292,134719
295,132536
311,132535
362,133622
365,134582
368,134582
369,135005
370,134582
371,135005
372,134582
373,135005
374,134582
383,135005
386,134582
387,135005
392,134582
393,135005
394,134582
395,135005
396,134582
472,135145
557,133748
568,134305
634,134940
685,134583
687,134583
691,134582
697,134583
703,132592
782,132395
811,134939
845,132543
859,135274
924,134939
926,134712
928,133749
929,135437
959,134298
963,133345
972,132939
977,132624
981,133623
983,134720
992,134937
1007,134325
1013,134938
1019,132624
1025,133626
1026,134720
1037,134944
1041,133952
1046,133343
1057,135039
1058,135039
1069,134937
1080,132715
1087,133947
1093,134943
1096,134940
1097,134941
1102,134939
1103,133739
1116,133972
1121,135274
1134,133742
1143,133741
1150,134719
1151,134298
1155,133740
1168,133639
1183,133639
1208,133888
1215,134787
1225,133721
1236,134068
1244,133628
1246,133738
1249,134776
1257,134514
1262,134134
1270,134377
1272,133694
1275,134743
1277,133637
1281,133635
1282,133640
1283,133629
1285,133644
1288,134799
1297,134058
1301,134939
1310,134170
1317,133743
1322,134269
1323,134939
1325,134939
1329,133693
1330,135006
1357,134582
1361,133888
1399,133280
1438,134343
1442,134185
1443,134059
1464,134187
1483,133951
1496,134296
1498,134295
1503,133720
1504,133884
1515,133718
1542,135274
1544,135274
1546,135274
1547,135274
1550,135274
1588,133741
1600,135145
1625,133641
1628,135276
1644,134952
1645,134297
1656,134776
1659,134132
1661,133040
1673,134955
1680,134955
1684,134955
1685,134955
1695,134336
1705,134950
1706,134950
1727,132624
1755,134955
1757,134955
1758,133039
1759,133718
1762,133969
1768,135145
1769,134297
1787,132760
1795,132938
1805,134712
1815,133628
1816,133581
1818,134581
1861,132539
1926,135145
1927,135145
1930,135274
1938,135613
1963,134582
1966,132537
1978,134582
1981,132537
2052,134955
2057,132939
2080,134951
2101,132939
2106,132760
2161,134950
2163,135005
2208,134955
2210,134955
2211,134955
2215,132624
2217,134583
2222,132624
2228,134583
2247,134939
2265,132624
2269,132624
2270,134583
2311,134581
2324,134956
2329,134949
2345,134713
2351,134732
2354,134798
2355,132541
2357,134754
2358,132939
2362,132939
2368,132939
2373,132542
2376,133969
2380,135276
2388,135145
2398,135274
2399,135276
2418,132384
2440,133041
2456,134948
2460,133725
2466,133041
2469,135145
2470,135005
2473,133972
2474,133974
2480,133849
2486,132543
2489,132940
2490,135005
2515,134799
2516,134095
2533,134743
2539,135037
2551,134230
2552,134955
2553,134955
2559,134957
2563,135039
2571,134939
2584,133636
2585,133634
2586,133638
2588,133641
2591,133630
2592,133632
2593,133645
2594,134952
2596,133849
2599,133970
2616,134937
2618,133942
2622,134231
2627,133708
2628,134582
2632,134955
2633,134955
2637,134437
2638,133849
2644,132760
2645,135006
2661,133888
2667,133438
2686,132939
2708,135641
2738,135641
2757,133740
2760,132381
2777,133040
2786,135493
2787,135493
2788,133939
2792,135612
2793,134187
2798,134298
2829,132624
2839,133038
2840,135138
2853,133730
2854,133345
2861,133476
2868,135128
2873,134719
2874,134304
2885,134437
2904,133972
2916,134955
2922,134583
2925,133694
2934,134948
2947,134799
2960,135039
2967,132624
2969,134583
2976,134583
2989,134583
3004,133884
3006,135641
3007,132938
3018,133461
3019,133459
3020,133471
3021,133471
3022,133471
3023,133468
3024,133464
3026,133439
3029,133469
3030,133462
3031,133461
3032,133460
3033,133466
3034,133460
3035,133461
3036,132541
3043,134583
3048,133458
3057,132624
3058,134583
3083,134583
3092,135273
3093,133471
3116,134514
3118,134238
3124,134304
3127,134321
3146,134294
3151,133041
3152,134717
3164,134367
3169,135039
3173,134581
3175,135637
3177,133884
3179,134582
3186,135500
3187,135491
3191,133476
3193,134583
3205,134582
3206,132939
3217,134582
3225,133981
3233,133719
3237,133627
3243,132395
3248,134582
3257,134064
3258,134063
3260,134581
3261,132535
3265,135005
3268,134582
3269,132535
3288,133980
3289,135005
3291,135005
3292,134581
3293,132624
3304,134956
3307,134294
3320,134338
3331,134938
3337,133628
3363,135639
3367,132395
3385,132395
3390,132715
3396,135040
3397,133973
3405,135145
3409,134583
3410,133622
3411,133458
3413,132736
3414,134584
3422,134338
3426,133735
3427,134186
3429,133722
3432,134582
3433,133694
3434,135274
3442,134706
3443,132539
3445,134955
3447,135274
3453,133345
3486,134173
3487,133640
3494,134086
3498,133476
3502,133041
3509,135145
3519,134583
3528,132939
3541,134583
3550,135637
3563,134305
3565,133624
3568,133642
3573,133718
3587,134581
3596,134295
3602,132603
3606,132605
3613,132603
3642,132611
3645,132610
3652,132607
3653,132607
3657,132606
3658,132606
3663,134718
3664,134721
3665,134716
3666,133343
3667,134334
3668,134303
3669,134414
3671,133723
3672,133722
3673,134325
3708,132607
3709,132539
3725,134950
3740,132606
3750,132539
3755,132539
3757,132539
3759,134342
3780,133041
3788,134799
3797,132395
3846,132939
3855,135274
3864,132483
3865,132483
3879,133040
3895,132610
3913,132943
3914,134170
3916,134296
3917,133730
3918,134166
3920,134159
3931,134955
3947,135142
3952,135229
3992,132939
4006,134128
4016,132539
4024,132539
4045,134339
4049,133736
4056,133643
4063,132610
4085,132624
4107,134948
4110,134944
4112,133971
4113,133969
4119,135641
4129,135276
4130,134950
4133,134743
4134,134765
4135,134717
4136,134714
4137,134712
4171,134095
4233,132383
4260,135274
4262,133730
4272,132539
4280,133789
4283,134441
4284,133344
4287,134237
4291,135574
4301,132539
4318,132939
4333,134583
4339,134583
4346,134583
4351,133476
4365,134582
4382,132602
4385,132541
4389,132541
4400,134955
4403,134956
4404,134951
4405,134948
4426,135498
4427,135614
4433,134303
4435,133469
4438,132938
4439,134582
4440,132541
4446,133694
4458,134952
4462,132609
4471,132604
4483,135036
4485,132941
4486,135039
4488,135036
4493,132539
4494,132607
4497,134582
4499,132492
4500,133693
4506,133693
4507,132491
4511,133694
4517,132493
4519,132494
4522,132494
4523,132494
4524,132493
4525,132493
4528,132495
4532,132493
4535,132493
4538,132493
4540,132493
4541,132493
4542,133693
4543,132494
4544,132493
4545,132495
4553,132494
4557,132492
4562,132494
4569,132493
4570,132494
4571,132494
4572,132494
4584,133639
4607,132606
4609,133476
4615,132543
4631,132539
4681,134566
4685,132939
4689,134572
4690,134579
4691,134575
4713,132538
4714,135232
4715,135235
4716,135238
4717,135233
4718,135234
4719,135236
4720,135237
4721,135240
4722,135239
4723,134321
4742,133742
4743,134948
4744,134583
4752,132891
4765,134581
4771,133460
4772,135234
4775,134094
4776,133280
4777,134129
4781,133978
4788,135325
4802,135316
4805,135327
4807,133732
4808,133708
4809,133892
4810,133891
4811,133887
4813,133889
4823,133890
4826,134338
4829,132608
4835,132539
4836,134797
4841,133278
4869,135037
4873,132543
4878,133694
4904,135033
4909,135276
4912,134583
4919,132939
4933,135039
4939,132494
4978,134583
4983,134955
